82,Lamb Of God,1433,1999,USA,-,Groove thrash
83,Iced Earth,1403,1985,USA,1985,"Heavy,Us power"
84,Anathema,1400,1990,United Kingdom,-,"Death doom,Atmospheric rock,Doom"
85,Symphony X,1343,1994,USA,1994,"Progressive,Symphonic power"
86,Eluveitie,1328,2002,Switzerland,-,"Celtic folk,Gothenburg"
87,Gojira,1300,1996,France,1996,Progressive death
88,Rammstein,1251,1994,Germany,-,Industrial
89,Sonata Arctica,1242,1996,Finland,1996,Power
90,Mastodon,1232,1999,USA,-,"Progressive stoner,Progressive sludge"
91,Nile,1189,1993,USA,1993,"Brutal death,Technical death"
92,Sepultura,1185,1984,Brazil,-,"Alternative,Death,Groove thrash,Thrash"
93,Moonspell,1173,1989,Portugal,1989,"Folk,Gothic black,Gothic,Symphonic black,Black"
94,Therion,1167,1987,Sweden,-,"Death,Symphonic"
95,Cannibal Corpse,1162,1988,USA,1988,Death
96,Enslaved,1146,1991,Norway,-,"Viking black,Progressive black"
97,Emperor,1132,1991,Norway,1991,"Black,Symphonic black"
98,Porcupine Tree,1094,1987,United Kingdom,-,"Progressive rock,Progressive"
99,Cradle Of Filth,1084,1991,United Kingdom,1991,"Extreme gothic,Symphonic black,Death,Symphonic"
100,Be'lakor,1083,2004,Australia,-,Melodic death
